docs,corpus_size,vocabulary_size
1387,709336,57610
1388,710090,57674
1389,710220,57674
1390,710382,57683
1391,710514,57684
1392,710675,57690
1393,710786,57692
1394,711106,57728
1395,711509,57739
1396,712034,57755
1397,712337,57766
1398,712660,57806
1399,713717,57845
1400,715538,57914
1401,715971,57923
1402,716175,57931
1403,716319,57932
1404,716727,57945
1405,716932,57954
1406,717054,57956
1407,717300,57969
1408,717411,57971
1409,717642,57979
1410,717977,58006
1411,718106,58008
1412,718529,58021
1413,721725,58133
1414,722783,58179
1415,723076,58224
1416,723378,58230
1417,723646,58241
1418,723750,58241
1419,724390,58267
1420,724602,58286
1421,724827,58290
1422,725027,58300
1423,725175,58308
1424,725303,58314
1425,725448,58319
1426,726128,58394
1427,726357,58405
1428,727636,58443
1429,727768,58443
1430,728394,58460
1431,729122,58487
1432,729374,58500
1433,729765,58522
1434,730034,58538
1435,730932,58568
1436,731116,58572
1437,731345,58616
1438,732097,58651
1439,732919,58688
1440,733094,58693
1441,733644,58734
1442,734059,58754
1443,734206,58761
1444,734978,58774
1445,735334,58799
1446,735612,58814
1447,736733,58861
1448,736857,58862
1449,737307,58884
1450,737466,58890
1451,737702,58892
1452,738505,58916
1453,738986,58929
1454,740301,59014
1455,741275,59036
1456,741492,59044
1457,741685,59050
1458,742191,59062
1459,742366,59065
1460,742563,59068
1461,742827,59074
1462,743149,59091
1463,743316,59097
1464,743696,59120
1465,744170,59138
1466,744678,59174
1467,744883,59179
1468,745414,59188
1469,746695,59227
1470,746834,59228
1471,747261,59252
1472,747732,59266
1473,747866,59268
1474,748096,59275
1475,748534,59305
1476,748854,59317
1477,751214,59395
1478,751955,59411
1479,752215,59423
1480,752537,59469
1481,752982,59475
1482,753138,59479
1483,753599,59499
1484,753709,59503
1485,754183,59524
1486,754428,59542
1487,754579,59545
1488,755052,59568
1489,755269,59576
1490,755531,59609
1491,755723,59614
1492,756691,59632
1493,756895,59635
1494,757336,59656
1495,757525,59659
1496,757805,59666
1497,757947,59668
1498,758361,59681
1499,758678,59705
1500,758845,59706
1501,759423,59719
1502,759604,59723
1503,760137,59740
1504,760322,59746
1505,761330,59805
1506,761454,59808
1507,761595,59814
1508,762100,59829
1509,762528,59850
1510,762994,59872
1511,764540,59922
1512,765640,59972
1513,766069,59986
1514,766249,59990
1515,766526,60003
1516,766960,60061
1517,767626,60077
1518,767879,60091
1519,768088,60095
1520,768199,60096
1521,768670,60125
1522,768823,60133
1523,769023,60143
1524,769208,60151
1525,769365,60168
1526,769871,60188
1527,770056,60191
1528,770208,60191
1529,770561,60209
1530,770722,60214
1531,773013,60333
1532,773179,60343
1533,774092,60372
1534,774223,60375
1535,774665,60387
1536,774918,60433
1537,775208,60441
1538,775353,60445
1539,775525,60448
1540,775750,60455
1541,776006,60470
1542,776523,60511
1543,776675,60511
1544,777238,60537
1545,777373,60541
1546,777696,60551
1547,778347,60580
1548,778582,60588
1549,778733,60594
1550,778943,60658
1551,779103,60663
1552,779382,60669
1553,779610,60676
1554,779960,60693
1555,780255,60699
1556,780650,60716
1557,780834,60724
1558,781030,60729
1559,781515,60740
1560,782314,60782
1561,782564,60795
1562,783108,60806
1563,783265,60809
1564,783445,60814
1565,783852,60836
1566,784083,60853
1567,784276,60859
1568,784547,60867
1569,784833,60891
1570,785267,60898
1571,786172,61039
1572,786510,61068
1573,786785,61080
1574,787058,61082
1575,787596,61100
1576,788237,61105
1577,788571,61110
1578,788723,61110
1579,789682,61131
1580,789912,61140
1581,790106,61153
1582,790244,61160
1583,790785,61191
1584,791056,61208
1585,791264,61216
1586,791445,61219
1587,791567,61220
1588,792499,61282
1589,792825,61288
1590,792982,61291
1591,793323,61315
1592,794265,61342
1593,794427,61345
1594,794649,61353
1595,794841,61361
1596,795597,61421
1597,796161,61443
1598,796882,61471
1599,797034,61479
1600,797206,61489
1601,797475,61534
1602,798773,61603
1603,799601,61653
1604,799797,61656
1605,800579,61739
1606,801500,61768
1607,801729,61774
1608,803411,61875
1609,803603,61880
1610,804046,61913
1611,805347,61969
1612,805722,61981
1613,805967,61983
1614,806340,62012
1615,806541,62020
1616,806650,62023
1617,809583,62119
1618,810272,62135
1619,810607,62223
1620,810975,62240
1621,811095,62241
1622,811338,62248
1623,811452,62250
1624,811637,62259
1625,811741,62269
1626,811830,62273
1627,811999,62279
1628,812670,62307
1629,812815,62310
1630,812953,62312
1631,813104,62317
1632,813254,62323
1633,813517,62334
1634,813629,62335
1635,813837,62344
1636,814578,62370
1637,814782,62380
1638,815248,62418
1639,815753,62547
1640,815938,62552
1641,816599,62576
1642,816837,62579
1643,817638,62618
1644,817838,62625
1645,818001,62644
1646,818277,62656
1647,818445,62665
1648,818678,62674
1649,819104,62754
1650,819232,62756
1651,819739,62782
1652,820092,62849
1653,820408,62866
1654,820586,62870
1655,821812,63013
1656,822362,63033
1657,822559,63036
1658,822743,63051
1659,822865,63056
1660,823662,63093
