docs,corpus_size,vocabulary_size
1147,568782,52687
1148,569637,52735
1149,569961,52740
1150,570509,52751
1151,570698,52757
1152,571489,53024
1153,571615,53026
1154,571759,53029
1155,572236,53047
1156,572530,53054
1157,572660,53058
1158,572836,53065
1159,573273,53095
1160,573710,53146
1161,573862,53152
1162,574012,53177
1163,574185,53184
1164,574482,53212
1165,574658,53222
1166,574865,53233
1167,576863,53270
1168,577311,53340
1169,577754,53384
1170,578054,53452
1171,578190,53458
1172,578635,53479
1173,579380,53586
1174,579600,53589
1175,580592,53656
1176,581349,53754
1177,582846,53793
1178,583216,53805
1179,583675,53819
1180,583997,53833
1181,585158,53860
1182,585437,53876
1183,585634,53881
1184,585939,53893
1185,586483,54275
1186,586661,54279
1187,591193,54413
1188,591477,54417
1189,592446,54469
1190,592789,54483
1191,593035,54495
1192,593272,54504
1193,593636,54513
1194,593771,54513
1195,594050,54538
1196,594461,54560
1197,594650,54568
1198,595040,54584
1199,595181,54586
1200,595336,54590
1201,596045,54620
1202,596437,54634
1203,596573,54638
1204,596827,54665
1205,596962,54674
1206,597862,54700
1207,598166,54706
1208,598331,54709
1209,598598,54719
1210,599692,54808
1211,600047,54847
1212,600356,54859
1213,600623,54870
1214,600844,54875
1215,601074,54887
1216,601441,54892
1217,601624,54898
1218,601772,54903
1219,601920,54907
1220,602100,54909
1221,602682,54992
1222,603508,55012
1223,604558,55060
1224,605984,55146
1225,606526,55161
1226,606731,55164
1227,607244,55202
1228,607419,55218
1229,607723,55239
1230,608034,55350
1231,608507,55364
1232,608848,55381
1233,610227,55429
1234,610696,55447
1235,611546,55494
1236,611747,55499
1237,612190,55572
1238,613273,55628
1239,613466,55634
1240,613647,55639
1241,616082,55691
1242,616207,55694
1243,616383,55705
1244,616688,55725
1245,617753,55764
1246,619586,55833
1247,619912,55850
1248,621183,55892
1249,621429,55910
1250,621878,55929
1251,622068,55946
1252,624639,56016
1253,625136,56045
1254,625274,56048
1255,625660,56073
1256,629594,56243
1257,631089,56339
1258,631821,56359
1259,632765,56397
1260,632969,56406
1261,633304,56427
1262,633483,56436
1263,634037,56458
1264,634271,56466
1265,634666,56503
